Date,Home Team Odds,Home Team Name,Away Team Name,Away Team Odds,Predicted Winner,Win Prediction Confidence,Actual Winner,OverUnder Point,OverUnder Prediction,OverUnder Confidence,Actual Combined Score
2024-03-23,1.5,Team A,Team B,2.0,Team A,0.75,Team A,50,Over,0.6,60
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,2,2,2,2,2,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,2,Portland Trail Blazers,Denver Nuggets,2,,[[0.758637   0.24136302]]%,,2,2,2,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:21:51,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:23:57,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:56:21,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:05,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 15:59:37,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:00:27,,Portland Trail Blazers,Denver Nuggets,,,[[0.758637   0.24136302]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-23 16:02:52,,Portland Trail Blazers,Denver Nuggets,,,[[0.7546193  0.24538065]]%,,,,,
2024-03-24 11:14:18,,Los Angeles Lakers,Indiana Pacers,,,[[0.34000576 0.6599943 ]]%,,,,,
